Genus,L10,S10,SL10,W10,feature_frequency
Unassigned,1.0,1.0,1.0,1.0,216720.7453589298
g__053A03-B-DI-P58,1.0,0.0,1.0,0.0,842.5635596477615
g__37-13,1.0,0.0,1.0,0.0,48.58298128682523
g__A4b,1.0,1.0,1.0,1.0,66.97144956107711
g__AB-539-J10,1.0,0.0,1.0,0.0,2.612068965517241
g__AB1,1.0,1.0,1.0,1.0,235.19950260045155
g__ADurb.Bin063-1,0.0,0.0,0.0,1.0,6.0
g__AEGEAN-169_marine_group,1.0,1.0,1.0,1.0,3940.51130490223
g__AKAU3564_sediment_group,1.0,0.0,1.0,0.0,91.60200388049734
g__AKYH767,1.0,0.0,1.0,0.0,27.56372090718622
g__AR15,1.0,0.0,1.0,0.0,4.811188811188812
g__AT-s3-44,1.0,1.0,1.0,1.0,23376.392644541094
g__Absconditabacteriales_(SR1),0.0,1.0,1.0,0.0,3.5864811133200796
g__Acanthopleuribacter,1.0,0.0,1.0,1.0,150.94697392004701
g__Achromobacter,0.0,1.0,1.0,0.0,16.326996946715255
g__Acidibacter,1.0,1.0,1.0,0.0,106.34555487715878
g__Acidipila-Silvibacterium,1.0,0.0,1.0,0.0,3.9368421052631577
g__Acidisoma,1.0,1.0,1.0,1.0,6018.608135885932
g__Acidithiobacillus,0.0,1.0,1.0,0.0,3.195402298850575
g__Acidovorax,1.0,1.0,1.0,1.0,7242.328563658361
g__Acinetobacter,1.0,1.0,1.0,1.0,2758.7660891650357
g__Aeromonas,1.0,1.0,1.0,1.0,1287.0813493613857
g__Agathobacter,1.0,1.0,1.0,1.0,2204.2783618321937
g__Akkermansia,0.0,1.0,1.0,0.0,34.02693319847772
g__Albirhodobacter,0.0,0.0,0.0,1.0,163.08887885553878
g__Alcanivorax,1.0,1.0,1.0,1.0,1074.6869896339413
g__Algibacter,1.0,1.0,1.0,1.0,23120.74956472519
g__Aliivibrio,1.0,0.0,1.0,0.0,38.66425211206852
g__Alistipes,1.0,1.0,1.0,1.0,631.0686879546746
g__Alkanindiges,1.0,0.0,1.0,0.0,172.93120486245508
g__Alloprevotella,1.0,0.0,1.0,0.0,35.62195606175019
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.0,1.0,1.0,1.0,125.36049318427148
g__Altererythrobacter,0.0,1.0,1.0,0.0,85.95039270703788
g__Alteromonas,1.0,1.0,1.0,1.0,8261.361984205625
g__Aminicenantales,1.0,1.0,1.0,1.0,160.10290559009934
g__Amylibacter,1.0,1.0,1.0,1.0,183499.90553018404
g__Anaerocella,0.0,1.0,1.0,1.0,34.23597577155441
g__Anaerostipes,1.0,1.0,1.0,0.0,40.378028896475236
g__Anderseniella,1.0,0.0,1.0,0.0,12.793103448275861
g__Aquibacter,1.0,1.0,1.0,1.0,2901.4924890665807
g__Aquicella,1.0,1.0,1.0,1.0,313.2028694692972
g__Aquisphaera,0.0,1.0,1.0,0.0,27.55089550895509
g__Arcicella,1.0,0.0,1.0,1.0,48.426416076398155
g__Arcobacter,0.0,1.0,1.0,1.0,115.19788231772561
g__Arctic97B-4_marine_group,1.0,1.0,1.0,1.0,858.5839367598082
g__Arenibacter,1.0,0.0,1.0,0.0,44.83578236479954
g__Arenicella,1.0,1.0,1.0,1.0,3259.1458050912875
g__Arenimonas,1.0,0.0,1.0,0.0,67.84583068646818
g__Armatimonas,1.0,0.0,1.0,0.0,69.95066693569598
g__Ascidiaceihabitans,1.0,1.0,1.0,1.0,58277.280413861175
g__Aurantimonas,1.0,1.0,1.0,0.0,138.26144760116293
g__Aureispira,1.0,1.0,1.0,1.0,4685.382749014866
g__B2M28,1.0,0.0,1.0,0.0,258.46878457741366
g__BD1-7_clade,1.0,1.0,1.0,1.0,4310.420721418547
g__BD2-11_terrestrial_group,1.0,1.0,1.0,1.0,11098.034107903995
g__BD7-11,1.0,1.0,1.0,1.0,7020.390926058173
g__BD7-8,1.0,1.0,1.0,1.0,3036.705739839327
g__Babeliales,1.0,1.0,1.0,1.0,73.10242822759882
g__Bacteroides,1.0,1.0,1.0,1.0,12009.836442409112
g__Bacteroidetes_BD2-2,1.0,0.0,1.0,1.0,128.79261707274995
g__Bacteroidetes_VC2.1_Bac22,1.0,1.0,1.0,1.0,1190.78384660795
g__Bacteroidetes_vadinHA17,1.0,0.0,1.0,0.0,4.590405904059041
g__Balneola,1.0,1.0,1.0,1.0,859.5244411089278
g__Barnesiella,0.0,1.0,1.0,1.0,96.86226257140619
g__Bilophila,0.0,1.0,1.0,0.0,19.594871794871793
