,year,date,weekn,depth,depth_code,sampleid,filtration_volume ,extraction_date,Extracted_By,elution_volume,[DNA]ng/ul,A260/280,nifH,Notes,Date (BIO),Depth (CTD),Local Time,Salinity_x,Temperature_x,Oxygen,par,fluorometer,pH,theta,sigmaTheta,month_name,month,day,time_string_x,size_code,A260/230,season,julian_day,scan,temperature,conductivity,oxygenVoltage,fluorescence,PSAR,salinity,oxygen,scan2,fluorescence2,turbidity,time_string_time,mission_descriptor,event_id,sample_id,latitude,longitude,time,Chlorophyll A,Nitrate,Nitrite,Phosphate,Silicate,Ammonia,Salinity_y,Temperature_y,HPLC_ALLOX,HPLC_BUT19,HPLC_CHLA,HPLC_CHLB,HPLC_CHLC12,HPLC_CHLC3,HPLC_DIADINOX,HPLC_DIATOX,HPLC_FUCOX,HPLC_HEX19,HPLC_PERID,HPLC_ZEA,POC,PON,time_string_y,truedepth
0,2022.0,07-Jan,1.0,1.0,A,BB22.1A,490.0,2023-05-04,Jenni,100.0,12.2,2.02,+,"aliquots: 40uL in 0.6, 2.5uL in PCR",2022-01-07,1.0,12:18:48 PM,28.7164,5.102,6.5108,2.6422,0.6261,7.938,5.1019,22.6874,Jan,1.0,7.0,2022-01-07,W,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483203.0,44.6937,-63.6403,1215.0,1.13475,10.245,0.5285000000000001,1.153,12.41,2.8960000000000004,28.8594,5.1672,0.186,0.0,1.881,0.174,0.132,0.0,0.054,0.0,0.154,0.037,0.138,0.0,,,2022-01-07,2.08
1,2022.0,07-Jan,1.0,1.0,A,BB22.1AL,460.0,2023-07-14,Jenni,100.0,4.2,1.56,+,no aliquot - all in original tube,2022-01-07,1.0,12:18:48 PM,28.7164,5.102,6.5108,2.6422,0.6261,7.938,5.1019,22.6874,Jan,1.0,7.0,2022-01-07,L,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483203.0,44.6937,-63.6403,1215.0,1.13475,10.245,0.5285000000000001,1.153,12.41,2.8960000000000004,28.8594,5.1672,0.186,0.0,1.881,0.174,0.132,0.0,0.054,0.0,0.154,0.037,0.138,0.0,,,2022-01-07,2.08
2,2022.0,07-Jan,1.0,1.0,A,BB22.1AS,460.0,2023-07-14,Jenni,100.0,16.6,1.59,+,no aliquot - all in original tube,2022-01-07,1.0,12:18:48 PM,28.7164,5.102,6.5108,2.6422,0.6261,7.938,5.1019,22.6874,Jan,1.0,7.0,2022-01-07,S,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483203.0,44.6937,-63.6403,1215.0,1.13475,10.245,0.5285000000000001,1.153,12.41,2.8960000000000004,28.8594,5.1672,0.186,0.0,1.881,0.174,0.132,0.0,0.054,0.0,0.154,0.037,0.138,0.0,,,2022-01-07,2.08
3,2022.0,07-Jan,1.0,5.0,B,BB22.1B,540.0,2023-05-04,Jenni,100.0,16.0,1.92,+,no aliquot - all in original tube,2022-01-07,5.0,12:18:56 PM,29.9009,5.3068,6.2755,0.34279,0.6528,7.927,5.3064,23.603,Jan,1.0,7.0,2022-01-07,W,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483202.0,44.6937,-63.6403,1215.0,1.02288,10.2,0.5035000000000001,1.1605,11.93,3.241,29.939400000000003,5.3262,0.156,0.0,1.5770000000000002,0.162,0.115,0.0,0.046,0.0,0.161,0.0,0.113,0.0,176.86666,28.33333,2022-01-07,5.68
4,2022.0,07-Jan,1.0,5.0,B,BB22.1BL,510.0,2023-07-14,Jenni,100.0,4.5,1.43,+,no aliquot - all in original tube,2022-01-07,5.0,12:18:56 PM,29.9009,5.3068,6.2755,0.34279,0.6528,7.927,5.3064,23.603,Jan,1.0,7.0,2022-01-07,L,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483202.0,44.6937,-63.6403,1215.0,1.02288,10.2,0.5035000000000001,1.1605,11.93,3.241,29.939400000000003,5.3262,0.156,0.0,1.5770000000000002,0.162,0.115,0.0,0.046,0.0,0.161,0.0,0.113,0.0,176.86666,28.33333,2022-01-07,5.68
5,2022.0,07-Jan,1.0,5.0,B,BB22.1BS,510.0,2023-07-14,Jenni,100.0,11.8,1.76,+,no aliquot - all in original tube,2022-01-07,5.0,12:18:56 PM,29.9009,5.3068,6.2755,0.34279,0.6528,7.927,5.3064,23.603,Jan,1.0,7.0,2022-01-07,S,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483202.0,44.6937,-63.6403,1215.0,1.02288,10.2,0.5035000000000001,1.1605,11.93,3.241,29.939400000000003,5.3262,0.156,0.0,1.5770000000000002,0.162,0.115,0.0,0.046,0.0,0.161,0.0,0.113,0.0,176.86666,28.33333,2022-01-07,5.68
6,2022.0,07-Jan,1.0,10.0,C,BB22.1C,520.0,2023-05-04,Jenni,100.0,17.6,1.81,+,no aliquot - all in original tube,2022-01-07,10.0,12:19:03 PM,30.0675,5.589,6.089,0.06392,0.3885,7.921,5.5883,23.704,Jan,1.0,7.0,2022-01-07,W,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483201.0,44.6937,-63.6403,1215.0,0.51384,10.0,0.458,1.036,11.335,2.0445,30.0855,5.6635,0.075,0.0,0.925,0.179,0.055,0.0,0.0,0.0,0.134,0.0,0.0,0.0,,,2022-01-07,10.6
7,2022.0,07-Jan,1.0,10.0,C,BB22.1CL,475.0,2023-07-14,Jenni,100.0,4.4,1.4,+,no aliquot - all in original tube,2022-01-07,10.0,12:19:03 PM,30.0675,5.589,6.089,0.06392,0.3885,7.921,5.5883,23.704,Jan,1.0,7.0,2022-01-07,L,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483201.0,44.6937,-63.6403,1215.0,0.51384,10.0,0.458,1.036,11.335,2.0445,30.0855,5.6635,0.075,0.0,0.925,0.179,0.055,0.0,0.0,0.0,0.134,0.0,0.0,0.0,,,2022-01-07,10.6
8,2022.0,07-Jan,1.0,10.0,C,BB22.1CS,475.0,2023-07-14,Jenni,100.0,9.8,1.77,+,no aliquot - all in original tube,2022-01-07,10.0,12:19:03 PM,30.0675,5.589,6.089,0.06392,0.3885,7.921,5.5883,23.704,Jan,1.0,7.0,2022-01-07,S,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483201.0,44.6937,-63.6403,1215.0,0.51384,10.0,0.458,1.036,11.335,2.0445,30.0855,5.6635,0.075,0.0,0.925,0.179,0.055,0.0,0.0,0.0,0.134,0.0,0.0,0.0,,,2022-01-07,10.6
9,2022.0,07-Jan,1.0,60.0,D,BB22.1D,520.0,2023-05-04,Jenni,100.0,29.0,1.81,+,no aliquot - all in original tube,2022-01-07,60.0,12:20:07 PM,31.1487,5.8298,0.2217,0.00015,0.0,7.442,5.8251,24.5312,Jan,1.0,7.0,2022-01-07,W,,Winter,,,,,,,,,,,,,,18VA22667,1.0,483200.0,44.6937,-63.6403,1220.0,0.0138,23.93,0.2865,7.4225,44.075,0.5965,31.165350000000004,5.812200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.63333,24.65,2022-01-07,61.02
