Genus,L5,S5,W5,feature_frequency
Unassigned,1.0,1.0,1.0,136363.0
g__009E01-B-SD-P15,0.0,1.0,0.0,17.0
g__053A03-B-DI-P58,1.0,0.0,0.0,566.0
g__37-13,1.0,0.0,0.0,35.0
g__4572-13,1.0,0.0,0.0,7.0
g__67-14,1.0,0.0,0.0,4.0
g__A4b,1.0,0.0,1.0,47.0
g__AB1,1.0,1.0,1.0,168.0
g__AEGEAN-169_marine_group,0.0,1.0,1.0,2764.0
g__AKAU3564_sediment_group,1.0,0.0,0.0,71.0
g__AKYH767,1.0,1.0,0.0,21.0
g__AT-s3-44,0.0,1.0,1.0,13724.0
g__Abditibacterium,0.0,1.0,0.0,8.0
g__Acanthopleuribacter,1.0,0.0,0.0,111.0
g__Acetobacterium,1.0,0.0,0.0,2.0
g__Acidaminococcus,1.0,0.0,0.0,21.0
g__Acidibacter,1.0,0.0,1.0,67.0
g__Acidicapsa,0.0,1.0,0.0,10.0
g__Acidisoma,1.0,1.0,1.0,3632.0
g__Acidovorax,1.0,1.0,1.0,4427.0
g__Acinetobacter,1.0,1.0,1.0,1994.0
g__Aeromonas,1.0,1.0,1.0,781.0
g__Agathobacter,1.0,1.0,1.0,1372.0
g__Akkermansia,0.0,0.0,1.0,26.0
g__Alcanivorax,1.0,1.0,1.0,715.0
g__Algibacter,1.0,1.0,1.0,15190.0
g__Algoriphagus,1.0,1.0,1.0,26.0
g__Aliivibrio,0.0,0.0,1.0,31.0
g__Alistipes,1.0,1.0,1.0,427.0
g__Alkanindiges,1.0,1.0,1.0,132.0
g__Alloprevotella,0.0,1.0,1.0,26.0
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.0,1.0,0.0,79.0
g__Altererythrobacter,0.0,1.0,1.0,72.0
g__Alteromonas,1.0,1.0,1.0,5331.0
g__Aminicenantales,1.0,0.0,1.0,120.0
g__Amylibacter,1.0,1.0,1.0,102298.0
g__Anaerocella,0.0,1.0,0.0,23.0
g__Anaerostipes,1.0,0.0,0.0,32.0
g__Anderseniella,1.0,0.0,0.0,11.0
g__Antarcticibacterium,1.0,0.0,0.0,4.0
g__Aquibacter,1.0,1.0,1.0,1917.0
g__Aquicella,1.0,1.0,1.0,234.0
g__Aquisphaera,1.0,0.0,0.0,23.0
g__Arcicella,1.0,1.0,0.0,37.0
g__Arcobacter,0.0,1.0,1.0,85.0
g__Arctic97B-4_marine_group,1.0,1.0,1.0,589.0
g__Arenibacter,1.0,1.0,0.0,30.0
g__Arenicella,0.0,1.0,1.0,2233.0
g__Arenimonas,1.0,0.0,0.0,55.0
g__Armatimonadales,0.0,1.0,0.0,6.0
g__Armatimonas,1.0,0.0,0.0,56.0
g__Arsenicibacter,1.0,0.0,0.0,4.0
g__Arsenophonus,0.0,1.0,0.0,30.0
g__Ascidiaceihabitans,0.0,1.0,1.0,38976.0
g__Aurantimonas,1.0,1.0,0.0,107.0
g__Aureispira,1.0,1.0,1.0,3149.0
g__B2M28,1.0,0.0,0.0,200.0
g__BD1-7_clade,1.0,1.0,1.0,2966.0
g__BD2-11_terrestrial_group,1.0,1.0,1.0,7173.0
g__BD2-3,0.0,1.0,0.0,11.0
