PRSpecies,L30,S30,W30,feature_frequency
Asterionellopsis,1.0,0.0,1.0,144.0
Bathycoccus,1.0,1.0,1.0,18902.0
Bolidomonas,1.0,1.0,1.0,387.0
Chaetoceros,1.0,1.0,1.0,56927.0
Chrysochromulina,1.0,1.0,1.0,1455.0
Chrysophyceae-Synurophyceae_XXXXX,1.0,1.0,1.0,2363.0
Chrysophyceae_XXXXX,0.0,1.0,0.0,226.0
Corethron,1.0,0.0,0.0,104.0
Dictyochophyceae_XXXXX,1.0,1.0,1.0,20191.0
Ectocarpus,1.0,0.0,0.0,11.0
Emiliania,1.0,0.0,0.0,17.0
Eutreptiella,1.0,1.0,1.0,116106.0
Florenciella,1.0,1.0,1.0,9657.0
Guinardia,1.0,0.0,1.0,299.0
Helicopedinella,1.0,1.0,1.0,2917.0
Hemiselmis,1.0,1.0,1.0,10152.0
Imantonia,1.0,1.0,1.0,4769.0
Leptocylindrus,1.0,1.0,1.0,2183.0
Micromonas,1.0,1.0,1.0,55977.0
Minutocellus,1.0,0.0,0.0,1143.0
Ochromonas,1.0,1.0,1.0,1079.0
Ostreococcus,0.0,1.0,1.0,622.0
Parmales,1.0,1.0,1.0,1820.0
Pedinella,0.0,1.0,1.0,601.0
Pedinellales_XXX,0.0,0.0,1.0,7.0
Pelagomonadaceae_X,1.0,1.0,0.0,84.0
Pelagomonas,1.0,1.0,1.0,1043.0
Phaeocystis,1.0,1.0,1.0,40056.0
Picochlorum,1.0,1.0,1.0,419.0
Prasinoderma,0.0,1.0,1.0,103.0
Proboscia,1.0,0.0,1.0,162.0
Pycnococcus,0.0,1.0,1.0,228.0
Pyramimonas,1.0,1.0,1.0,516.0
Rappemonad,0.0,0.0,1.0,8.0
Rhizosoleniaceae_X,1.0,0.0,1.0,173.0
S25_1200,1.0,0.0,0.0,16.0
Stephanophyrix,1.0,1.0,1.0,937.0
Teleaulax,1.0,1.0,1.0,159995.0
Thalassionema,1.0,0.0,0.0,434.0
Thalassiosira,1.0,1.0,1.0,76800.0
Tisochrysis,1.0,1.0,1.0,906.0
Unassigned,1.0,1.0,1.0,133284.0
uncultured+bacterium,0.0,1.0,0.0,173.0
uncultured+cyanobacterium,0.0,0.0,1.0,4.0
