PRSpecies,L1,S1,W1,feature_frequency
Bathycoccus,1.0,1.0,1.0,18902.0
Bolidomonas,1.0,1.0,1.0,387.0
Chaetoceros,1.0,1.0,1.0,56927.0
Chrysochromulina,1.0,1.0,1.0,1455.0
Chrysophyceae-Synurophyceae_XXXXX,1.0,1.0,1.0,2363.0
Chrysophyceae_XXXXX,0.0,1.0,1.0,226.0
Corethron,1.0,0.0,0.0,104.0
Dictyochophyceae_XXXXX,1.0,1.0,1.0,20191.0
Ectocarpus,0.0,0.0,1.0,11.0
Eutreptiella,1.0,1.0,1.0,116106.0
Florenciella,1.0,1.0,1.0,9657.0
Guinardia,1.0,1.0,0.0,299.0
Haptolina,1.0,0.0,0.0,59.0
Helicopedinella,1.0,1.0,1.0,2917.0
Hemiselmis,1.0,1.0,1.0,10152.0
Heterosigma,1.0,0.0,0.0,8.0
Imantonia,1.0,1.0,1.0,4769.0
Leptocylindrus,1.0,1.0,1.0,2183.0
Micromonas,1.0,1.0,1.0,55977.0
Minutocellus,1.0,0.0,1.0,1143.0
Nephroselmis,1.0,0.0,1.0,155.0
Nitszchia,1.0,0.0,0.0,42.0
Ochromonas,1.0,1.0,1.0,1079.0
Ostreococcus,0.0,1.0,1.0,622.0
Parmales,1.0,1.0,1.0,1820.0
Pedinella,1.0,1.0,1.0,601.0
Pelagomonadaceae_X,1.0,0.0,1.0,84.0
Pelagomonas,1.0,1.0,1.0,1043.0
Phaeocystis,1.0,1.0,1.0,40056.0
Picochlorum,1.0,1.0,1.0,419.0
Plagioselmis,1.0,1.0,1.0,548.0
Prasino-clade-7_X-B1,1.0,0.0,0.0,14.0
Prasinoderma,0.0,1.0,0.0,103.0
Proboscia,1.0,0.0,0.0,162.0
Pseudanabaena+sp.,1.0,0.0,0.0,2.0
Pseudo-nitzchia,1.0,0.0,0.0,16.0
Pycnococcus,1.0,1.0,1.0,228.0
Pyramimonas,1.0,1.0,1.0,516.0
Rappemonad,0.0,0.0,1.0,8.0
Rhizosoleniaceae_X,1.0,1.0,0.0,173.0
Rivularia+sp.,0.0,0.0,1.0,2.0
S25_1200,0.0,1.0,0.0,16.0
Stephanophyrix,1.0,1.0,0.0,937.0
Teleaulax,1.0,1.0,1.0,159995.0
Thalassionema,1.0,0.0,1.0,434.0
Thalassiosira,1.0,1.0,1.0,76800.0
Tisochrysis,1.0,1.0,1.0,906.0
Unassigned,1.0,1.0,1.0,133284.0
Vaucheriaceae_X,1.0,0.0,0.0,9.0
uncultured+bacterium,0.0,1.0,1.0,173.0
uncultured+organism,0.0,1.0,1.0,6.0
